"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"11314";"2476";"1584";"RMR/JEF-85-003";"";"";"";"Z. mays L. ";"Philippines";"Batangas";"Batangas City";"Paharang";"";"8511";"November 1985";"White";"13° 45' 8";"121° 8' 21";"13.752300";"121.139300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11315";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11316";"2480";"1586";"RMR/JEF-85-0014";"";"";"";"Z. mays L. ";"Philippines";"Batangas";"Batangas City";"Talumpok";"";"8511";"November 1985";"Yellow";"13° 42' 50";"121° 10' 1";"13.713800";"121.167000";"573";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11317";"2489";"1587";"";"TFE 139";"";"IRRI";"Z. mays L. ";"Mexico";"";"";"";"";"8604";"April 1986";"Yellow";"23° 0' 0"" N";"102° 0' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11318";"2490";"1588";"";"LA MOLINA 8131";"";"IRRI";"Z. mays L. ";"Mexico";"";"";"";"";"8604";"April 1986";"Yellow";"23° 0' 0"" N";"102° 0' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11319";"2494";"1589";"";"MALANG COMP";"";"IRRI";"Z. mays L. ";"India";"";"";"";"";"8604";"April 1986";"Yellow";"20° 0' 0"" N";"77° 0' 0"" E";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11320";"2495";"1590";"";"RAMJUNA";"";"IRRI";"Z. mays L. ";"India";"";"";"";"";"8604";"April 1986";"Yellow";"20° 0' 0"" N";"77° 0' 0"" E";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11321";"2496";"1591";"";"ARUM 2";"";"IRRI";"Z. mays L. ";"Nepal";"";"";"";"";"8604";"April 1986";"Yellow";"28° 0' 0"" N";"84° 0' 0"" E";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11322";"2498";"1592";"";"TROPICAL Yellow FLINT";"";"IRRI";"Z. mays L. ";"Mexico";"";"";"";"";"8604";"April 1986";"Yellow";"23° 0' 0"" N";"102° 0' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11323";"2500";"1593";"";"XC #1C- MU-82-B";"";"IRRI";"Z. mays L. ";"Mexico";"";"";"";"";"8604";"April 1986";"Yellow";"23° 0' 0"" N";"102° 0' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11324";"2501";"1594";"";"CHONG MING 101";"";"PROC";"Z. mays L. ";"China";"";"";"";"";"8608";"August 1986";"White";"35° 0′ 0″ N";"105° 0′ 0″ E";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11325";"2502";"1595";"";"CHONG MING 102";"";"PROC";"Z. mays L. ";"China";"";"";"";"";"8608";"August 1986";"White";"35° 0′ 0″ N";"105° 0′ 0″ E";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11325-B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11326";"2503";"1596";"";"CHONG MING 103";"";"PROC";"Z. mays L. ";"China";"";"";"";"";"8608";"August 1986";"White/Light Purple";"35° 0′ 0″ N";"105° 0′ 0″ E";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"11327";"2504";"1597";"RMR-86-028";"MALAGKIT";"";"";"Z. mays L. ";"Philippines";"Albay";"Guinobatan";"Masarawag";"";"8608";"August 1986";"White";"13° 13' 36";"123° 36' 53";"13.226800";"123.6148";"252";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11328";"2506";"1598";"RMR-86-034";"MALAGKIT";"";"";"Z. mays L. ";"Philippines";"Albay";"Oas";"Balugo";"";"8608";"August 1986";"White";"13° 17' 14";"123° 32' 59";"13.287100";"123.5496";"48";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11329";"2507";"1599";"RMR-86-059";"";"";"";"Z. mays L. ";"Philippines";"Camarines Sur";"Pili";"Curry";"Mt. Isarog";"8608";"August 1986";"Yellow";"13° 35' 60N";"123° 17' 60E";"13.600000";"123.300000";"78";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11330";"2508";"1600";"RMR-86-060";"";"";"";"Z. mays L. ";"Philippines";"Albay";"Oas";"Balugo";"";"8608";"August 1986";"Light Purple/Yellow";"13° 17' 14";"123° 32' 59";"13.287100";"Lat (DMS)";"13° 45' 11N";"Long (DMS)";"122° 57' 57E";"Altitude (meters)";"54";"";"";"";"";"";"";"";"Traditional"
"11331";"2509";"1601";"RMR-86-075";"";"";"";"Z. mays L. ";"Philippines";"Albay";"Guinobatan";"Inascan";"";"8608";"August 1986";"Yellow";"13° 13' 0";"123° 34' 0";"13.216700";"123.566700";"64";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11332";"2510";"1602";"JEF-86-004";"TINIGUIB";"";"";"Z. mays L. ";"Philippines";"Leyte";"Abuyog";"Odiongan";"";"8610";"October 1986";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11333";"2511";"1603";"JEF-86-008";"MIMIS";"";"";"Z. mays L. ";"Philippines";"Leyte";"Abuyog";"Odiongan";"";"8610";"October 1986";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11334";"2512";"1604";"JEF-86-094";"";"";"";"Z. mays L. ";"Philippines";"Leyte";"Ormoc";"Daghag";"";"8610";"October 1986";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11335";"2513";"1605";"JEF-86-096";"KATORSA";"";"";"Z. mays L. ";"Philippines";"Leyte";"Ormoc";"Gaas";"";"8610";"October 1986";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11336";"2514";"1606";"JEF-86-098";"MIMIS";"";"";"Z. mays L. ";"Philippines";"Leyte";"Ormoc";"Kananga";"";"8610";"October 1986";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11337";"2515";"1607";"JEF-86-099";"TAKURO";"";"";"Z. mays L. ";"Philippines";"Leyte";"Ormoc";"Kananga";"";"8610";"October 1986";"White/Light Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11338";"2516";"1608";"JEF-86-106";"KALINPOS";"";"";"Z. mays L. ";"Philippines";"Leyte";"Ormoc";"Gaas";"";"8610";"October 1986";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11339";"2517";"1609";"RAR-87-020A";"";"";"";"Z. mays L. ";"Philippines";"Cagayan";"Iguig";"Sta. Rosa";"";"8703";"March 1987";"Light Purple/White";"17° 45' 1";"121° 44' 9";"17.7504";"121.7357";"82";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11340";"2518";"1610";"RAR-87-010";"";"";"";"Z. mays L. ";"Philippines";"Ifugao";"Lamot";"Nayon";"";"8703";"March 1987";"White/Light putple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11341";"2519";"1611";"RAR-87-009";"";"";"";"Z. mays L. ";"Philippines";"Ifugao";"Lamot";"Nayon";"";"8703";"March 1987";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11342";"2520";"1612";"RAR-87-008";"";"";"";"Z. mays L. ";"Philippines";"Ifugao";"Lamot";"Nayon";"";"8703";"March 1987";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11343";"2521";"1613";"RAR-87-007";"";"";"";"Z. mays L. ";"Philippines";"Ifugao";"Lamot";"Nayon";"";"8703";"March 1987";"Yellow/Light Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11344";"2522";"1614";"RAR-87-006";"";"";"";"Z. mays L. ";"Philippines";"Ifugao";"Lamot";"Nayon";"";"8703";"March 1987";"White/Light putple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11345";"2523";"1615";"RAR-87-005";"";"";"";"Z. mays L. ";"Philippines";"Ifugao";"Lamot";"Nayon";"";"8703";"March 1987";"Yellow/Light Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11346";"2524";"1616";"RAR-87-004";"";"";"";"Z. mays L. ";"Philippines";"Ifugao";"Lamot";"Nayon";"";"8703";"March 1987";"Yellow/Light Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11347";"2525";"1617";"RAR-87-020B";"";"";"";"Z. mays L. ";"Philippines";"Cagayan";"Iguig";"Sta. Rosa";"";"8703";"March 1987";"White/Light putple";"17° 45' 1";"121° 44' 9";"17.750400";"121.735700";"82";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11348";"2526";"1618";"";"";"";"";"Z. mays L. ";"Philippines";"Camarines Sur";"Buhi";"San Vicente";"";"8708";"Augsut 1987";"Yellow";"13° 33' 0N";"123° 16' 0E";"13.550000";"123.2667";"25";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11349";"2527";"1619";"";"";"";"";"Z. mays L. ";"Philippines";"Misamis Occidental";"Cagayan de Oro";"";"";"8710";"October 1987";"Light Purple/White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11350";"2528";"1620";"";"";"";"";"Z. mays L. ";"Philippines";"Cebu";"Ocana Carcar";"Baksihi";"";"8710";"October 1987";"Yellow";"10° 3' 56N";"123° 37' 28E";"10.0656";"123.624400";"9";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11351";"2529";"1621";"";"";"";"";"Z. mays L. ";"Philippines";"Cebu";"Ocana Carcar";"Baksihi";"";"8710";"October 1987";"White";"10° 3' 56N";"123° 37' 28E";"10.0656";"123.624400";"9";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11352";"2530";"1622";"";"";"";"";"Z. mays L. ";"Philippines";"Cebu";"Liloan";"Tayod";"";"8710";"October 1987";"White";"10° 22' 42N";"123° 59' 38E";"10.3782";"123.994000";"39";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11353";"2531";"1623";"";"";"";"";"Z. mays L. ";"Philippines";"Cebu";"Liloan";"Tayod";"";"8710";"October 1987";"Purple";"10° 22' 42N";"123° 59' 38E";"10.3782";"123.994000";"39";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11353-B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11354";"2532";"1624";"";"";"";"";"Z. mays L. ";"Philippines";"Cebu";"Liloan";"Tayod";"";"8710";"October 1987";"Purple";"10° 22' 42N";"123° 59' 38E";"10.3782";"123.994000";"39";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11355";"2533";"1625";"";"";"";"";"Z. mays L. ";"Philippines";"Cebu";"Liloan";"Tayod";"";"8710";"October 1987";"White";"10° 22' 42N";"123° 59' 38E";"10.3782";"123.994000";"39";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11356";"2534";"1626";"";"TINIGUIB";"";"";"Z. mays L. ";"Philippines";"Cebu";"Mandaue";"";"";"8710";"October 1987";"White";"10° 19′ 48″";"123° 55′ 48″ ";"10.330000";"123.930000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11357";"2535";"1627";"";"";"";"";"Z. mays L. ";"Philippines";"Batangas";"Tanauan";"Janopol";"";"8803";"March 1988";"Light Yellow/Light Purple";"14° 5' 9";"121° 5' 42";"14.085900";"121.094900";"114";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11358";"2536";"1628";"";"";"";"";"Z. mays L. ";"Philippines";"Batangas";"Tanauan";"Janopol";"";"8803";"March 1988";"Light Yellow/Light Purple";"14° 5' 9";"121° 5' 42";"14.085900";"121.094900";"114";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11359";"2538";"1629";"";"TAKURO (HIBUNAWAN) VISCA 8821-N";"";"";"Z. mays L. ";"Philippines";"Leyte";"Baybay";"";"";"8901";"January 1989";"White";"Lat (DMS)";"14° 5' 9N";"Long (DMS)";"121° 5' 42E";"Altitude (meters)";"114";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11360";"2540";"1630";"";"RED BATUAN VISCA 8866";"";"";"Z. mays L. ";"Philippines";"Leyte";"Baybay";"";"";"8901";"January 1989";"Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11361";"2541";"1631";"";"TINIGUIB (BUKIDNON) VISCA 8762-N";"";"";"Z. mays L. ";"Philippines";"Leyte";"Baybay";"";"";"8901";"January 1989";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11362";"2542";"1632";"";"TINIGUIB (ABUYOG) VISCA 8822-N";"";"";"Z. mays L. ";"Philippines";"Leyte";"Baybay";"";"";"8901";"January 1989";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"11363";"2543";"1633";"";"";"";"";"Z. mays L. ";"Philippines";"Negros Occidental";"Burgos";"";"";"8902";"February 1989";"Yellow/Light Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"12336";"";"51332";"";"PHL INBRED #23";"";"NSF";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"9804";"April 1998";"";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"12337";"";"51333";"";"PHL INBRED #17";"";"NSF";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"9804";"April 1998";"";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"20737";"628";"52921";"";"BRITISH VIRGIN ISLANDS 116";"";"CIMMYT";"Z. mays L. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"20738";"644";"52922";"";"CUBA 76";"";"CIMMYT";"Z. mays L. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"20739";"721";"52923";"";"EL SALVADOR 62";"";"CIMMYT";"Z. mays L. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"20740";"1194";"52924";"";"A 654 X A 554 LOZZO";"";"UPLB";"Z. mays L. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"20741";"1232";"52925";"";"14-0069 C-5";"";"UPLB";"Z. mays L. ";"Japan";"Tokyo";"";"";"";"";"";"";"35° 41' 6"" N";"139° 45' 5"" E";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"20742";"1652";"52926";"";"T 157 A";"";"";"Z. mays L. ";"United States of America";"Tennessee";"Knoxville";"";"";"";"";"";"35° 57' 38"" N";"83° 55' 14"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"20743";"1798";"52927";"MM-81-074";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Brooke's Point";"Ipilan";"Linao";"8104";"April 1984";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32043";"";"51055";"RCS-98-052";"";"";"";"Z. mays L.";"Philippines";"Cagayan";"Rizal";"Annayuan";"";"980304";"March 4, 1998";"Yellow kernels ; for feeds";"17° 50' 55";"121° 20' 48";"17.8486";"121.3466";"46";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32044";"";"51352";"REC/IGB-98-";"";"";"";"Z. mays L.";"Philippines";"Marinduque";"Sta. Cruz";"Liisok";"";"980819";"August 19, 1998";"Yellow; Glutinous";"Lat (DMS)";"18° 14' 3N";"Long (DMS)";"121° 40' 44E";"Altitude (meters)";"16";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32045";"";"53646";"";"Kamaitan";"";"";"Z. mays L.";"Philippines";"Cagayan";"Rizal";"Gagabutan";"";"20000825";"August 25, 2000";"Sticky";"17° 55' 60";"121° 46' 0";"17.9333";"121.7667";"76";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32046";"";"53895";"MAD/";"";"";"";"Z. mays L.";"";"";"";"";"";"";"";"";"";"";"";"";"";"Lat (DMS)";"17° 43' 22N";"Long (DMS)";"121° 26' 49E";"Altitude (meters)";"38";"";"";"";"";"";"Traditional"
"32049";"";"53961";"";"Tinumbaga";"";"Adong Mercado";"Z. mays L.";"Philippines";"Batangas";"Tanauan";"Cale";"";"20010301";"March 1, 2001";"";"14° 7' 7";"121° 5' 45";"14.118600";"121.095800";"252";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32050";"";"53962";"";"Lagkitan";"";"Adong Mercado";"Z. mays L.";"Philippines";"Batangas";"Tanauan";"Cale";"";"20010301";"March 1, 2001";"";"14° 7' 7";"121° 5' 45";"14.118600";"121.095800";"252";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32051";"";"53963";"";"Native";"";"Adong Mercado";"Z. mays L.";"Philippines";"Batangas";"Tanauan";"Cale";"";"20010301";"March 1, 2001";"";"14° 7' 7";"121° 5' 45";"14.118600";"121.095800";"252";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32052";"";"56265";"";"";"";"";"Z. mays L.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"32053";"";"56347";"";"";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"San Agustin";"";"20041022";"October 22, 2004";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32054";"";"56348";"NCA/LSG/RRC 2004-002";"Mais a purao";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"San Agustin";"";"20041022";"October 22, 2004";"White";"18° 04' 20.3""";"120° 32' 29.2""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32055";"";"56349";"NCA/LSG/RRC 2004-003";"Cutie";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"San Agustin";"";"20041022";"October 22, 2004";"White";"18° 04' 20.7""";"120° 32' 29.2""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32056";"";"56353";"NCA/LSG/RRC 2004-007";"Native pop corn";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"San Agustin";"";"20041022";"October 22, 2004";"Yellow";"18° 14' 20.3""";"120° 32' 29.2""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32057";"";"56354";"NCA/LSG/RRC 2004-008";"Diket (malagkit)";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"Baranggay 26";"Upay";"20041022";"October 22, 2004";"White";"18° 04' 39.3""";"120° 30' 11.2""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32058";"";"56355";"NCA/LSG/RRC 2004-009";"";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"Baranggay 26 ";"Upay";"20041022";"October 22, 2004";"Yellow";"18° 04' 39.3""";"120° 30' 11.2""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32059";"";"56356";"NCA/LSG/RRC 2004-010";"Tambura";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"Baranggay 26 ";"Upay";"20041022";"October 22, 2004";"Mixed (Yellow + Purple)";"18° 04' 39.3""";"120° 30' 11.2""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32060";"";"56357";"NCA/LSG/RRC 2004-011";"Native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"Baranggay 26";"Upay";"20041022";"October 22, 2004";"Yellow";"18° 04' 34.6""";"120° 30' 13.13""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32061";"";"56358";"NCA/LSG/RRC 2004-012";"Diket";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"Baranggay 26 ";"Upay";"20041022";"October 22, 2004";"White";"18° 04' 34.6""";"120° 30' 13.13""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32062";"";"56359";"NCA/LSG/RRC 2004-013";"Native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Dingras";"Madama ";"Naregta";"20041022";"October 22, 2004";"White";"18° 06' 23.7 """;"120° 42' 17.7""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32063";"";"56360";"NCA/LSG/RRC 2004-014";"Native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Dingras";"Madama ";"Naregta";"20041022";"October 22, 2004";"Mixed (Yellow + White)";"18° 06' 23.7 """;"120° 42' 17.7""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32064";"";"56361";"NCA/LSG/RRC 2004-015";"Diket";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Tabug";"";"20041022";"October 22, 2004";"White";"18° 03' 20.1""";"120° 33' 7.9""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32065";"";"56362";"NCA/LSG/RRC 2004-016";"Kanawidan native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041023";"October 23, 2004";"Yellow";"18° 03' 51.3""";"120° 34' 7.5""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32066";"";"56363";"NCA/LSG/RRC 2004-017";"Diket";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041023";"October 23, 2004";"White";"18° 03' 51.3""";"""120° 34' 7.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32067";"";"56364";"NCA/LSG/RRC 2004-018";"Diket";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041023";"October 23, 2004";"White";"18° 03' 51.3""";"""120° 34' 7.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32068";"";"56365";"NCA/LSG/RRC 2004-019";"Native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041023";"October 23, 2004";"Yellow";"18° 03' 51.3""";"""120° 34' 7.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32069";"";"56366";"NCA/LSG/RRC 2004-020";"Native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041023";"October 23, 2004";"White";"18° 03' 51.3""";"""120° 34' 7.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32070";"";"56369";"NCA/LSG/RRC 2004-023";"Native ";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Paoay";"Paoay Public Market";"";"20041023";"October 23, 2004";"White";"18° 03' 3.5""";"120° 31' 25.6""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32071";"";"56378";"NCA/LSG/RRC 2004-032";"Diket";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Quiling Sur";"";"20041023";"October 23, 2004";"White";"18° 03' 55.2""";"120° 32' 59.9""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32072";"";"56379";"NCA/LSG/RRC 2004-033";"Native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Quiling Sur";"";"20041023";"October 23, 2004";"Yellow";"18° 04' 8.7""";"120° 33' 3.7""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32073";"";"56380";"NCA/LSG/RRC 2004-034";"Diket na mais apurao";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Quiling Sur";"";"20041023";"October 23, 2004";"White (glutinous)";"18° 02' 59""";"120° 33' 36.4""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32074";"";"56382";"NCA/LSG/RRC 2004-036";"Native";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041024";"October 24, 2004";"Yellow";"18° 02' 59""";"120° 33' 36.4""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32075";"";"56383";"NCA/LSG/RRC 2004-037";"Diket";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041024";"October 24, 2004";"White";"18° 02' 59""";"120° 33' 36.4""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32076";"";"56386";"NCA/LSG/RRC 2004-040";"";"";"";"Z. mays L.";"Philippines";"Ilocos Norte";"Batac";"Batac Public Market";"";"20041024";"October 24, 2004";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32077";"";"56387";"NCA/LSG/RRC 2004-041";"Bangagan";"";"";"Z. mays L.";"Philippines";"Abra";"Bangued";"Sta. Rosa";"";"20041024";"October 24, 2004";"White";"17° 35' 2.3""";"120° 36' 48.6""";"17.583900";"120.613600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32078";"";"56388";"NCA/LSG/RRC 2004-042";"Diket";"";"";"Z. mays L.";"Philippines";"Abra";"Bangued";"Sta. Rosa";"";"20041024";"October 24, 2004";"White";"17° 35' 2.3""";"120° 36' 48.6""";"17.583900";"120.613600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32079";"";"56389";"NCA/LSG/RRC 2004-043";"Diket-native";"";"";"Z. mays L.";"Philippines";"Abra";"Dolores";"Pacac";"";"20041024";"October 24, 2004";"White";"17° 39' 42.3""";"120° 43' 31.6""";"17.661700";"120.708900";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32080";"";"56390";"NCA/LSG/RRC 2004-044";"Cagayan";"";"";"Z. mays L.";"Philippines";"Abra";"Dolores";"Pacac";"";"20041024";"October 24, 2004";"White";"17° 39' 42.3""";"120° 43' 31.6""";"17.661700";"120.708900";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32081";"";"56391";"NCA/LSG/RRC 2004-045";"Maguprak-di malagkit";"";"";"Z. mays L.";"Philippines";"Abra";"Dolores";"Pacac";"";"20041024";"October 24, 2004";"White (flint)";"17° 39' 42.3""";"120° 43' 31.6""";"17.661700";"120.708900";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"32082";"";"56392";"NCA/LSG/RRC 2004-046";"";"";"";"Z. mays L.";"Philippines";"Abra";"Pidigan";"Poblacion";"";"20041025";"October 25, 2004";"Yellow";"17° 34′ 0″";"120° 35′ 0″";"17.566667";" 120.583333";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
