"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"9294";"";"1920";"";"Z.1321 (1981)";"";"IPK-UNGARA";"Z. mays  convar microsperma Korn. var glaucornis Alef.";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9295";"";"1921";"";"Z.118 (1987)";"";"IPK-DEUTSCHLAND";"Z. mays L. convar mays rubra Bonaf. ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9300";"";"1924";"";"Z.5471 (1981)";"";"IPK-ALBANIEN";"Z. mays L. convar dentiformis Korn. var favorubra Korn. ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9302";"";"1926";"";"Z.337 (1994)";"";"IPK-UNGARN";"Z mays L. convar dentiformis Korn. flavorubra Korn. ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9303";"";"1927";"";"Z.75 (1991)";"";"IPK-PORTUGAL";"Z. mays L. convar dentiformis Korn. var flavorubra Korn. ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9306";"";"1928";"";"Z.226 (1993)";"";"IPK-CHICAGO,USA";"Z. mays L. convar saccharata var. flavodulcis ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9309";"";"1929";"";"Z.339 (1989)";"";"IPK-W/R PETERSSBURG";"Z. mays L. convar dentiformis Korn. var leucodon Alef. ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9311";"";"1930";"";"Z.128 (1989)";"";"IPK-UNGARN";"Z. mays L. convar dentiformis Korn. ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9313";"";"1931";"";"Z.182 (1989)";"";"IPK-BERNBURG";"Z. mays L. convar mays var alba alef.";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9314";"";"1932";"";"Z.213 (1979)";"";"IPK-TSCHECHIEN";"Z. mays L. convar microsperma Korn. var leucornis Alef.";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
