"PHL_NO.";"OLD ACC_NO";"GB_NO";"DAYS_EMER";"DAYS_TASS";"DAYS_SILK";"DAYS_HARV";"TIL_INDX_A";"STEMCOL";"SHEATHPUB";"LVS_TOT_A";"LEAFLNTH_A";"LEAFWDTH_A";"LEAFORIENT";"PRESLFLIG";"VENINDEX";"TASSTYPE";"SILKCOLOR";"TASSCOLOR";"PLTHGHT_A";"EARHGHT_A";"FOLIAGE";"NO_LEA_A_A";"NO_LEA_B_A";"NO_INT_B_A";"NO_INT_W_A";"STMDIABA_A";"STMDIABE_A";"TAS_LNTH_A";"TAPED_LT_A";"TAS_BSPA_A";"NO_PBTAS_A";"NO_SBTAS_A";"NO_TBTAS_A";"STAYGREEN";"DAYS_EL_SN";"STALKLOD";"EARHUSKCO";"EARHUSKFIT";"EARHUSKTS";"EARSHAPE";"EARTIPSHPE";"EAR_ORIENT";"EARLNTH_A";"EARDIAM_A";"COBDIAM_A";"RACDIAM_A";"PEDLNTH_A";"NO_BRCTS_A";"KER_RW_ARR";"NO_K_ROW_A";"NO_K_PRW_A";"COBCOLOR";"PERCENT_GS";"KERNEL_TYP";"KERNEL_COL";"KER_LNT_A";"KER_WDT_A";"KER_THK_A";"SHAPE_UKS";"PER_COLOR";"ALE_COLOR";"END_COLOR";"UNSH_WGT_A";"SHEL_WGT_A";"KERWGT1000";"SHELL_PC";"";""
"10177";"756";"447";"6";"";"57";"103";"1.40";"1";"7";"13.20";"0.00";"0.00";"1";"1";"0.00";"2";"1";"3 1";"0.00";"0.00";"";"6.70";"7.80";"6.90";"13.30";"0.00";"0.00";"31.33";"17.83";"11.38";"16.60";"3.50";"0.00";"3";"0";"";"";"";"5";"1";"5";"3";"14.92";"4.64";"2.28";"1.87";"9.92";"14.00";"1";"12.80";"30.80";"1";"0.00";"3 4 6";"2 6";"10.29";"9.62";"3.81";"3 4";"";"";"";"123.08";"100.67";"265.06";"81.79";"";""
"10178";"783";"448";"6";"";"0";"106";"0.00";"1";"7";"13.50";"0.00";"0.00";"1";"1";"0.00";"2";"2";"3 2";"0.00";"0.00";"";"6.40";"8.10";"7.40";"12.30";"0.00";"0.00";"32.09";"16.79";"12.97";"17.40";"4.10";"0.00";"5";"0";"";"";"";"9";"1";"9";"3";"14.30";"4.23";"2.71";"1.75";"9.35";"9.30";"1";"11.75";"18.62";"1";"0.00";"3 4 5";"6 8";"10.21";"9.99";"4.37";"1";"";"";"";"106.16";"89.28";"368.20";"84.09";"";""
"10182";"797";"452";"6";"";"57";"103";"1.00";"1 4";"7";"14.90";"0.00";"0.00";"1";"1";"0.00";"2";"2 1";"1 3";"0.00";"0.00";"";"7.80";"7.80";"7.70";"14.10";"0.00";"0.00";"31.80";"21.57";"12.36";"16.80";"4.00";"0.00";"3";"0";"";"";"";"9";"1";"9";"3";"16.66";"3.67";"1.92";"1.08";"8.25";"14.20";"1";"11.80";"32.10";"1";"0.00";"4 3 5";"6 2 3";"10.55";"8.24";"3.25";"3 2";"";"";"";"92.37";"81.36";"223.36";"88.08";"";""
"10184";"807";"454";"6";"";"50";"96";"1.33";"1 4";"7";"11.50";"0.00";"0.00";"1";"1";"0.00";"2";"";"1";"0.00";"0.00";"";"6.20";"5.80";"4.40";"9.30";"0.00";"0.00";"31.81";"19.40";"10.65";"12.00";"4.00";"0.00";"3";"0";"";"";"";"5";"1";"9";"1";"12.51";"3.73";"1.72";"1.06";"7.24";"12.30";"1";"11.20";"30.40";"1";"0.00";"1 4 4";"1";"10.31";"9.28";"3.32";"2 3";"";"";"";"76.20";"57.76";"220.20";"75.80";"";""
"10185";"808";"455";"5";"";"52";"99";"0.00";"1 4";"5";"11.30";"0.00";"0.00";"1";"1";"0.00";"2";"3";"1";"0.00";"0.00";"";"6.90";"5.50";"5.60";"10.70";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3";"0";"";"";"";"5";"2";"5";"3";"14.01";"3.92";"2.48";"1.41";"8.20";"11.00";"1";"10.60";"26.80";"1 4";"0.00";"1 2 3";"1";"10.35";"8.78";"3.55";"2 3";"";"";"";"98.00";"75.75";"250.74";"76.29";"";""
"10186";"809";"456";"5";"";"57";"103";"0.00";"";"7";"0.00";"0.00";"0.00";"2";"1";"0.00";"3";"";"";"0.00";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"34.89";"19.91";"12.19";"12.80";"4.70";"0.10";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"0.00";"0.00";"266.88";"0.00";"";""
"10190";"814";"460";"5";"";"51";"97";"0.00";"1";"5";"12.20";"0.00";"0.00";"2";"1";"0.00";"2";"1";"3";"0.00";"0.00";"";"6.30";"12.50";"6.10";"12.20";"0.00";"0.00";"33.15";"17.09";"16.06";"19.20";"8.60";"0.50";"3";"0";"";"";"";"5";"2";"9";"1";"12.68";"3.77";"2.00";"1.15";"6.09";"11.80";"1";"10.60";"28.10";"1";"0.00";"1 3 4";"1";"10.95";"9.17";"3.57";"1 2";"";"";"";"73.71";"67.13";"244.25";"91.07";"";""
"10225";"901";"495";"6";"";"55";"101";"0.00";"4";"3";"11.00";"0.00";"0.00";"1";"1";"0.00";"1";"";"";"0.00";"0.00";"";"7.40";"4.80";"3.40";"9.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"";""
"10238";"923";"508";"5";"";"51";"97";"0.00";"1";"5";"10.70";"0.00";"0.00";"2";"1";"0.00";"2";"";"2";"0.00";"0.00";"";"5.80";"5.30";"4.90";"9.80";"0.00";"0.00";"34.60";"19.80";"8.72";"11.70";"1.60";"0.00";"3";"0";"";"";"";"5";"1";"5";"1";"15.76";"3.61";"2.22";"1.24";"8.49";"7.80";"1";"12.00";"32.00";"4";"0.00";"4 3 5";"6 2";"9.47";"8.07";"4.69";"2 1";"";"";"";"82.18";"64.96";"204.15";"79.04";"";""
"10247";"947";"517";"5";"";"51";"97";"0.00";"4 1";"7";"13.60";"0.00";"0.00";"1";"1";"0.00";"2";"1";"1";"0.00";"0.00";"";"6.60";"6.80";"6.60";"12.90";"0.00";"0.00";"37.17";"19.92";"12.95";"18.20";"3.60";"0.00";"7";"0";"";"";"";"5";"";"5";"1";"14.26";"4.14";"2.58";"1.55";"6.18";"11.70";"1";"12.60";"32.50";"1 2";"0.00";"5 4 3";"6 2 1";"10.62";"8.56";"3.67";"2";"";"";"";"105.51";"90.84";"252.29";"86.09";"";""
"10265";"1025";"535";"6";"";"50";"96";"0.00";"1 4";"5";"11.50";"0.00";"0.00";"2";"1";"0.00";"";"";"";"0.00";"0.00";"";"6.10";"5.80";"5.00";"10.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3";"0";"";"";"";"9";"1";"5";"7";"13.80";"3.97";"2.43";"1.43";"4.71";"9.40";"1";"16.66";"28.00";"1";"0.00";"8";"6 2 1";"10.18";"7.30";"3.06";"1";"";"";"";"72.79";"60.89";"139.10";"83.65";"";""
"10270";"1037";"540";"6";"";"50";"96";"0.00";"1";"5";"11.50";"0.00";"0.00";"2";"1";"0.00";"2";"3 2";"3";"0.00";"0.00";"";"6.10";"5.80";"5.70";"10.20";"0.00";"0.00";"32.99";"19.00";"14.64";"20.40";"5.10";"0.00";"3";"0";"";"";"";"5";"1";"5";"7";"15.76";"4.08";"2.50";"1.55";"5.11";"9.10";"1";"14.00";"36.40";"1";"0.00";"8 115";"6 2";"9.23";"7.06";"3.48";"2 3";"";"";"";"138.32";"112.47";"178.94";"81.31";"";""
"10273";"1043";"543";"5";"";"50";"96";"0.00";"1";"7";"12.00";"0.00";"0.00";"1";"1";"0.00";"2";"4";"1 2";"0.00";"0.00";"";"6.70";"6.60";"6.30";"12.50";"0.00";"0.00";"34.27";"17.32";"12.85";"20.00";"6.50";"0.00";"5";"0";"";"";"";"5";"1";"5";"3";"12.56";"4.31";"2.74";"1.81";"6.71";"11.40";"1";"14.60";"27.20";"1 2";"0.00";"5 4 3";"6 2";"10.23";"7.93";"4.27";"2 3";"";"";"";"102.23";"80.96";"234.58";"79.19";"";""
"10279";"1130";"549";"7";"";"49";"95";"0.00";"1 3";"7";"9.80";"0.00";"0.00";"1";"1";"0.00";"";"4";"";"0.00";"0.00";"";"6.60";"4.60";"3.60";"9.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3";"0";"";"";"";"5";"";"";"1";"0.00";"0.00";"0.00";"0.00";"6.24";"8.20";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"";""
