"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/                VARIETY NAME/     PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT          COLL.";"PROV";"TOWN";"BARANGAY";"SITIO";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"ALTITUDE";"COLL SOURCE";"GEN STAT";"SAM TYPE";"SAM MET";"MAT";"TOPO";"SITE";"SOIL TEX";"DRAIN";"SOIL COL";"STON"
"485";"2578";"1668";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"BUK";"KIBAWE";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"486";"2579";"1669";"";"PAGKAIN NG BAYAN";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ZDN";"";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"487";"2580";"1670";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ZDN";"SANDANGAN";"TALINGA";"";"8908";"YLW/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"488";"2581";"1671";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ZDN";"SANDANGAN";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"489";"2582";"1672";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"NSM";"SAN ISIDRO";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"490";"2583";"1673";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"SAM";"";"";"";"8908";"WHT/LT YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"491";"2584";"1674";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"NSM";"NEW MAHAYAG";"";"";"8908";"YLW/WHT/LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"492";"2585";"1675";"";"ISABELA WHITE FLINT";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ISA";"";"";"";"8908";"YLW/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"493";"2586";"1676";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"";"DAVAO CITY";"";"";"8908";"LT PUR/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"494";"2587";"1677";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"LDN";"SALAD";"";"";"8908";"LT PUR/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"495";"2588";"1678";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ZDN";"TAMPIUSAN";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"496";"2589";"1679";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"SCT";"TUPI";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"497";"2590";"1680";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"BUK";"VALENCIA";"LUMABO";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"498";"2591";"1681";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"SCT";"TUPI";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"499";"2592";"1682";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"LEY";"SARO";"LUTAN";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"500";"2593";"1683";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"";"SAN MIGUEL";"LACSON";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"501";"2594";"1684";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"";"DAVAO CITY";"BACACA";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"502";"2595";"1685";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"NGO";"GUIHULUAYAN";"MASAYA";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"503";"2596";"1686";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"CMS";"BUHI";"";"";"8908";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"504";"2597";"1687";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"CMS";"PILI";"";"";"8908";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"505";"2598";"1688";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"CMS";"SIPOCOT";"N.VILLASAN";"";"8908";"YLW/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"506";"2599";"1689";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"CMS";"PILI";"CURRY";"";"8908";"LT PUR/YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"507";"2600";"1690";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ILO";"ALMODIAS";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"508";"2601";"1691";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"LDN";"PHANTAR";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509";"2602";"1692";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"";"BACOOR";"DURI";"";"8908";"YLW/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"510";"2603";"1693";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"LEY";"ORMOC";"DOLORES";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"511";"2604";"1694";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"BUK";"DANKAGAN";"BALUNHAY";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"512";"2605";"1695";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ZDN";"DIPOLOG CITY";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"513";"2606";"1696";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"LEY";"BAYBAY";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"514";"2607";"1697";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"WSM";"GANDAN";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"515";"2608";"1698";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"MSO";"MAGSAYSAY";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"516";"2609";"1699";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ZDN";"SALUG";"DANAO";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"517";"2610";"1700";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"LEY";"CAPATA";"ANTIPOLO";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1182";"2611";"1701";"";"CBR (HS) BULK C-Z LB 87 WS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8911";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1183";"2612";"1702";"";"XV4 (HS) C5 MALE SELECTED LB 87A";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1184";"2613";"1703";"";"XV2 (HS) C6 BULK LB 879";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1185";"2614";"1704";"";"XV5 (SIB) SUWAN 2 BULK LB 8807 WS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1186";"2615";"1705";"";"XV2 XXX4 (HS) CAP-2 BULK LB 86B";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1187";"2616";"1706";"";"XX1 REMNANTS BULK";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1188";"2617";"1707";"";"CAGUA 8425";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1189";"2618";"1708";"";"IPB WHITE SWEET CORN";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"LAG";"LOS BAÑOS";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1190";"2619";"1709";"";"PAEC YELLOW GLUTINOUS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1191";"2620";"1710";"";"PALMERA 8425";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1192";"2621";"1711";"";"CMB 8704";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1193";"2622";"1712";"";"SUWAN 2 S1 BULK LB 85-86 DS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1194";"2623";"1713";"";"XV1 FS LB 88 DS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1195";"2624";"1714";"";"CBR X VAR1 BC2";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1196";"2625";"1715";"";"XV4 (HS) CC (DECOMB) BULK";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1197";"2626";"1716";"";"XV2 (HS) C4 (CCY-DMR-SRR) CMU83";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1198";"2627";"1717";"";"BATANGAS SWEET";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1199";"2628";"1718";"";"IPB YELLOW GLUTINOUS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"GR/YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1200";"2629";"1719";"";"JARDINOPOLIS 8336";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1201";"2630";"1720";"";"NIORO (1) 8432";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"LAG";"LOS BAÑOS";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1202";"2631";"1721";"";"DELHI (1) 8336";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1203";"2632";"1722";"";"PIURA  8336";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1204";"2633";"1723";"";"PIURA  (1) 8336";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1205";"2634";"1724";"";"ACROSS 7632 RE";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1206";"2635";"1725";"";"ACROSS 8336";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1207";"2636";"1726";"";"POZA RICA 8336";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1208";"2637";"1727";"";"FARAKOBA 8549";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1209";"2638";"1728";"";"MUNENG 8427";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1210";"2639";"1729";"";"ACROSS 8436";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1211";"2640";"1730";"";"LOS DIAMANTES R 7823";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1212";"2641";"1731";"";"GUAYABAL AVAGUA 8443";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1213";"2642";"1732";"";"SILANGAN 2 LB 89 WS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1214";"2643";"1733";"";"SILANGAN 1 LB 89 WS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1215";"2644";"1734";"";"IPB VAR 2 (EARLY) CO 88-89 WS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1216";"2645";"1735";"";"MATATUM 3 LB 89 WS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1217";"2646";"1736";"";"IPB VAR 1 C-1 (EARLY) MS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1218";"2647";"1737";"";"AP-4 (HS) C3";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1219";"2648";"1738";"";"ANTIGUA GP2 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW/LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1220";"2649";"1739";"";"CAGUA 8425 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1221";"2650";"1740";"";"XV2 (PH) C4 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1222";"2651";"1741";"";"EL PLANTEL 8425";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1223";"2652";"1742";"";"PIRSABAK (1) 7930 RE";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1224";"2653";"1743";"";"PALMIRA 8432";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1225";"2654";"1744";"";"PIRSABAK 8425";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1226";"2655";"1745";"";"POZA RICA";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1227";"2656";"1746";"";"RATTRAY ARNOLD 8349";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1228";"2657";"1747";"";"ACROSS 8329";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1229";"2658";"1748";"";"SMARC 1887";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1230";"2659";"1749";"";"ACROSS 7729 RE";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1231";"2660";"1750";"";"ALAJUELA (1) 8329";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1232";"2661";"1751";"";"POZARICA 8530";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1233";"2662";"1752";"";"PIRZABAK (1) 8425";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1234";"2663";"1753";"";"KALINGA LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"PHL";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1235";"2664";"1754";"";"BS-9# LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1236";"2665";"1755";"";"WISAYA LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1237";"2666";"1756";"";"CAGUA 8425 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1238";"2667";"1757";"";"XV4 (PH) C5 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1239";"2668";"1758";"";"XV4 (PH) C2 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1240";"2669";"1759";"";"CARIBEAN SEED LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1241";"2670";"1760";"";"XV4 (PH) C1 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1242";"2671";"1761";"";"XV2 (PH) C3 LB 88-89 DS";"";"IPB CORN BREED.";"Z. mays L. ";"";"";"";"";"";"8912";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
