"PHL NO.";"DAYS_EMER";"Column1";"";"DAYS_TASS";"Column1";"";"DAYS_SILK";"Column1";"";"DAYS_HARV"
"1246";"7";"";"";"";"";"";"53";"";"";"87"
"1247";"7";"";"";"";"";"";"53";"";"";"87"
"1248";"7";"";"";"";"";"";"53";"";"";"97"
"1249";"7";"";"";"";"";"";"53";"";"";"97"
"1250";"7";"";"";"";"";"";"53";"";"";"97"
"1251";"7";"";"";"";"";"";"45";"";"";"87"
"1252";"7";"";"";"";"";"";"46";"";"";"87"
"1253";"7";"";"";"";"";"";"52";"";"";"87"
"1254";"7";"";"";"";"";"";"52";"";"";"97"
"1255";"7";"";"";"";"";"";"52";"";"";"97"
"1256";"7";"";"";"";"";"";"39";"";"";"86"
"1257";"7";"";"";"";"";"";"44";"";"";"86"
"1258";"7";"";"";"";"";"";"44";"";"";"87"
"1259";"7";"";"";"";"";"";"53";"";"";"97"
"1260";"7";"";"";"";"";"";"53";"";"";"97"
"1261";"7";"";"";"";"";"";"53";"";"";"97"
"1262";"7";"";"";"";"";"";"45";"";"";"87"
"1263";"7";"";"";"";"";"";"53";"";"";"97"
"1264";"7";"";"";"";"";"";"57";"";"";"97"
"1265";"7";"";"";"";"";"";"53";"";"";"97"
"1266";"7";"";"";"";"";"";"56";"";"";"97"
"1267";"7";"";"";"";"";"";"53";"";"";"87"
"1268";"7";"";"";"";"";"";"53";"";"";"97"
"1269";"7";"";"";"";"";"";"53";"";"";"87"
"1304";"7";"";"";"";"";"";"52";"";"";"86"
"1305";"7";"";"";"";"";"";"52";"";"";"97"
"1306";"7";"";"";"";"";"";"56";"";"";"97"
"1361";"7";"";"";"";"";"";"52";"";"";"86"
"1630";"7";"";"";"";"";"";"36";"";"";"86"
"1631";"7";"";"";"";"";"";"45";"";"";"86"
"1771";"7";"";"";"";"";"";"52";"";"";"86"
"10423";"7";"";"";"";"";"";"45";"";"";"86"
"10425";"7";"";"";"";"";"";"45";"";"";"86"
"10426";"7";"";"";"";"";"";"45";"";"";"86"
"10427";"7";"";"";"";"";"";"45";"";"";"86"
"10428";"7";"";"";"";"";"";"45";"";"";"86"
"10429";"7";"";"";"";"";"";"45";"";"";"86"
